instance,config,ga_best,ga_ls_best,best_gain,runs
uk_tv,Default,2266,2266,0,10
uk_tv,Explorues,2266,2266,0,10
uk_tv,Intensiv,2266,2266,0,10
uk_tv,Balancuar,2266,2266,0,10
