instance,config,ga_best,ga_ls_best,best_gain,runs
australia_iptv,Default,4444,4462,18,10
australia_iptv,Explorues,4459,4464,5,10
australia_iptv,Intensiv,4441,4466,25,10
australia_iptv,Balancuar,4460,4463,3,10
