instance,config,ga_best,ga_ls_best,best_gain,runs
china_pw,Default,3097,3108,11,10
china_pw,Explorues,3104,3107,3,10
china_pw,Intensiv,3104,3108,4,10
china_pw,Balancuar,3104,3108,4,10
