instance,config,ga_best,ga_ls_best,best_gain,runs
germany_tv,Default,1620,1641,21,10
germany_tv,Explorues,1638,1641,3,10
germany_tv,Intensiv,1620,1641,21,10
germany_tv,Balancuar,1620,1641,21,10
