instance,config,ga_best,ga_ls_best,best_gain,runs
youtube_gold,Default,100563,100632,69,10
youtube_gold,Explorues,100425,100504,79,10
youtube_gold,Intensiv,100550,100644,94,10
youtube_gold,Balancuar,100502,100553,51,10
