instance,config,ga_best,ga_ls_best,best_gain,runs
france_iptv,Default,4344,4380,36,10
france_iptv,Explorues,4321,4345,24,10
france_iptv,Intensiv,4331,4345,14,10
france_iptv,Balancuar,4340,4349,9,10
